order_id,customer_name,customer_email,product,category,price,quantity,total,date
f6b3e04c-04a0-4e32-998b-3289fabc818c,Stephanie Roberts,bryangreen@example.com,high,Beauty,188.38,3,469.41,2024-02-29
ec99a552-ecbe-4922-b1c4-9a714e57daab,Donna Allen,taylorrivera@example.org,white,Electronics,427.58,3,1697.1,2022-08-16
f4e66a40-c32e-419b-8455-78e3eb90bbfc,Brenda Parker,jeffreyhanna@example.com,report,Electronics,366.07,5,942.01,2024-03-30
46dc4695-c4fb-413a-8bd8-177d411d97da,Russell Irwin,hernandezlisa@example.net,north,Clothing,187.82,1,438.28,2023-12-04
8bb9a37e-f6c0-4313-97ac-020937b953c5,Andrea Patterson,molly84@example.com,company,Electronics,19.71,5,876.38,2022-11-16
18a79894-928a-42dd-b346-56265a495b3a,Jessica Adams,vickie59@example.net,above,Home,180.28,4,1473.58,2020-06-14
ae5b76e5-c2aa-472c-bacd-2ff25a9a50b2,Gabriel Martin,jenniferhicks@example.org,far,Clothing,159.92,2,467.04,2020-04-25
953f8c54-afbd-4f57-84fc-481da46b08fc,Janet Valencia,chenlatoya@example.net,reality,Clothing,330.71,1,302.45,2023-10-20
bb89afc6-c817-4380-9693-742d15e2e6e3,Jeffrey Austin,hodgesthomas@example.net,section,Clothing,356.51,4,422.33,2022-11-15
092bae52-d83a-438a-abde-e498e2227153,John Trevino,watsonkathleen@example.org,daughter,Electronics,247.85,5,253.1,2020-01-22
7a922a05-65d4-48cb-8de5-a1e131d062e3,Jackie Brown MD,lorirodgers@example.net,popular,Home,200.64,1,294.96,2020-11-14
dd8af059-4d42-4141-ba3c-5e67afdbb4a2,James Pierce,jimeneznicholas@example.org,only,Home,271.18,4,939.89,2024-02-12
70be091e-ce70-4d1b-b735-5b30375ebc96,Jeffrey Alvarez,guerrajoshua@example.com,lot,Beauty,296.27,3,125.08,2024-05-14
6b24ef9b-9605-4e07-a4d6-aa487a4746df,Tina Spencer,edwardrivera@example.org,imagine,Electronics,305.01,5,80.82,2020-06-25
ab5e54ae-6d8d-4401-9583-2cfc7c65f6bb,Misty Arnold,ggarcia@example.org,that,Beauty,429.01,3,904.56,2024-06-27
ce524463-a0cb-4694-9ce8-b2930c059e02,Sarah Alvarez,ballardangela@example.com,mission,Clothing,464.99,3,1058.56,2024-10-30
01793db5-d4a8-481a-8fad-6df17192986c,Donald Baker,staceywilkinson@example.com,develop,Beauty,196.0,4,1047.56,2021-01-17
415a55ff-dc15-409e-b1ac-48f582e01a55,Michael Harris,valerie18@example.org,glass,Clothing,163.15,1,1166.59,2020-08-28
